pmcid,pmid,doi,created,created_year
PMC3341187,22416942,10.1186/1743-422X-9-68,2012-03-15,2012
PMC3343981,22589890,10.1107/S1600536812009567,2012-03-10,2012
PMC3347541,22649628,NA,2010-04-01,2010
PMC3364910,22490115,10.1186/1743-422X-9-78,2012-04-10,2012
PMC3377956,22044910,10.1186/1743-422X-8-494,2011-11-01,2011
PMC3381707,22992314,10.1186/1471-2458-12-S1-S2,2012-06-22,2012
PMC3403110,NA,10.1186/1546-0096-10-S1-A103,2012-07-13,2012
PMC3413536,22559908,10.1186/1743-422X-9-86,2012-05-04,2012
PMC3439294,22834653,10.1186/1743-422X-9-137,2012-07-26,2012
PMC3439333,22866888,10.1186/1743-422X-9-146,2012-08-06,2012
PMC3439358,22873773,10.1186/1743-422X-9-142,2012-08-03,2012
PMC3443020,22546080,10.1186/1743-422X-9-83,2012-04-30,2012
PMC3447679,22559869,10.1186/1743-422X-9-85,2012-05-04,2012
PMC3447699,22738661,10.1186/1743-422X-9-127,2012-06-27,2012
PMC3466123,22709374,10.1186/1743-422X-9-116,2012-06-18,2012
PMC3469194,23109952,NA,2012-01-01,2012
PMC3477084,22947270,10.1186/1743-422X-9-183,2012-09-04,2012
PMC3478227,22616823,10.1186/1743-422X-9-96,2012-05-22,2012
PMC3484775,23198121,NA,2011-12-01,2011
PMC3485615,23150796,10.7554/eLife.00049,2012-11-13,2012
PMC3487928,22838725,10.1186/1743-422X-9-138,2012-07-27,2012
PMC3487931,22967434,10.1186/1743-422X-9-195,2012-09-12,2012
PMC3489719,22995185,10.1186/1743-422X-9-215,2012-09-21,2012
PMC3490746,22863531,10.1186/1743-422X-9-143,2012-08-03,2012
PMC3492083,22929207,10.1186/1743-422X-9-176,2012-08-28,2012
PMC3492202,23062147,10.1186/1743-422X-9-236,2012-10-13,2012
PMC3493341,22971578,10.1186/1743-422X-9-196,2012-09-12,2012
PMC3495767,23006741,10.1186/1743-422X-9-217,2012-09-24,2012
PMC3499178,23043930,10.1186/1743-422X-9-230,2012-10-08,2012
PMC3502331,22978358,10.1186/1743-422X-9-202,2012-09-17,2012
PMC3502403,22998755,10.1186/1743-422X-9-216,2012-09-22,2012
PMC3502414,22992336,10.1186/1743-422X-9-211,2012-09-19,2012
PMC3503792,23122361,10.1186/1471-230X-12-155,2012-11-02,2012
PMC3508965,22920192,10.1186/1743-422X-9-172,2012-08-24,2012
PMC3511061,23164039,10.1186/1743-422X-9-276,2012-11-19,2012
